,composition,reduced_formula,require_u_correction,mp_relax_kpts,mp_relax_grid_density,mp_relax_reciprocal_density,mp_relax_grid_density_aiida,mp_default_kpoint_grid_density,mp_static_kpts_sc,mp_static_grid_density_sc,mp_static_reciprocal_density_sc,mp_static_grid_density_aiida_sc,mp_default_kpoint_grid_density_sc_static,mp_relax_kpts_sc,mp_relax_grid_density_sc,mp_relax_reciprocal_density_sc,mp_relax_grid_density_aiida_sc,mp_default_kpoint_grid_density_sc_relax,potcar_ENMAX,potcar_1.3_ENMAX,KPOINTS-force_kpts,KPOINTS-force_grid_density_sc,KPOINTS-force_reciprocal_density_sc,KPOINTS-force_grid_density_aiida_sc,KPOINTS-nac_kpts,KPOINTS-nac_grid_density,KPOINTS-nac_reciprocal_density,KPOINTS-nac_grid_density_aiida,INCAR-relax_ENCUT,INCAR-relax_Magnetization,INCAR-nac_ENCUT,INCAR-nac_Magnetization,INCAR-force_ENCUT,INCAR-force_Magnetization,KPOINTS-relax_kpts,KPOINTS-relax_grid_density,KPOINTS-relax_reciprocal_density,KPOINTS-relax_grid_density_aiida
mp-618177,K8 Zn4 Cl16,K2ZnCl4,False,"[2, 1, 3]",180.0,21.0,0.42514544029793605,555.0,"[1, 2, 2]",475.0,55.0,0.2869345836993517,868.0,"[1, 1, 1]",115.0,13.0,0.43040187554902753,555.0,276.0,359.0,"[1, 2, 1]",244.0,28.0,0.3586682296241896,"[2, 2, 3]",347.0,40.0,0.3091966838530444,359.0,False,359.0,False,359.0,False,"[2, 2, 3]",347.0,40.0,0.3091966838530444
mp-8179,Li4 O8 Tl4,LiTlO2,False,"[5, 5, 2]",813.0,39.0,0.34383729799028606,1334.0,"[2, 2, 3]",1728.0,83.0,0.23791781247785013,2084.0,"[1, 1, 2]",296.0,14.0,0.44609589839596897,1334.0,499.0,648.0,"[1, 1, 2]",296.0,14.0,0.44609589839596897,"[4, 4, 2]",512.0,25.0,0.382041442211429,648.0,False,648.0,False,648.0,False,"[4, 4, 2]",512.0,25.0,0.382041442211429
mp-3193,O20 Na8 Si8,Na2Si2O5,False,"[3, 5, 2]",1080.0,57.0,0.2999266437620898,1205.0,"[1, 3, 2]",941.0,50.0,0.3195654278830595,1883.0,"[1, 2, 2]",602.0,32.0,0.3486168304178831,1205.0,400.0,520.0,"[1, 2, 2]",602.0,32.0,0.3486168304178831,,,,,520.0,False,,,520.0,False,"[3, 4, 2]",879.0,47.0,0.3144392232989651
mp-6391,O8 Na4 Si2 Zn2,Na2ZnSiO4,False,"[5, 4, 3]",971.0,49.0,0.30782124342020184,1259.0,"[2, 2, 1]",519.0,26.0,0.3929632894725981,1968.0,"[2, 2, 1]",519.0,26.0,0.3929632894725981,1259.0,400.0,520.0,"[2, 2, 1]",519.0,26.0,0.3929632894725981,"[5, 4, 3]",971.0,49.0,0.30782124342020184,520.0,False,520.0,False,520.0,False,"[5, 4, 3]",971.0,49.0,0.30782124342020184
mp-753360,Bi4 O4 F4,BiOF,False,"[3, 7, 3]",771.0,45.0,0.3209734423168787,1100.0,"[2, 2, 1]",616.0,36.0,0.33156785804757494,1719.0,"[1, 2, 1]",310.0,18.0,0.41445982255946867,1100.0,400.0,520.0,"[2, 2, 1]",616.0,36.0,0.33156785804757494,"[3, 6, 3]",653.0,38.0,0.33041383767913984,520.0,False,520.0,False,520.0,False,"[3, 5, 3]",549.0,32.0,0.34363039118630545
mp-556179,Pr12 Si8 S32 Cl4,Pr3Si2S8Cl,False,"[1, 3, 2]",351.0,32.0,0.3691695289088912,696.0,"[1, 1, 2]",234.0,21.0,0.3894603891695213,1088.0,"[1, 1, 2]",234.0,21.0,0.3894603891695213,696.0,262.0,341.0,"[1, 1, 2]",234.0,21.0,0.3894603891695213,,,,,341.0,False,,,341.0,False,"[1, 3, 2]",351.0,32.0,0.3691695289088912
mp-6265,O24 Sb4 Ba8 Tb4,Ba2TbSbO6,True,"[2, 2, 2]",320.0,19.0,0.37221896209717564,1056.0,"[3, 3, 3]",1080.0,65.0,0.24814597473145042,1650.0,"[2, 2, 2]",320.0,19.0,0.37221896209717564,1056.0,400.0,520.0,"[2, 2, 2]",320.0,19.0,0.37221896209717564,,,,,520.0,False,,,520.0,False,"[2, 2, 2]",320.0,19.0,0.37221896209717564
mp-8355,O8 Al2 Si2 K2,KAlSiO4,False,"[5, 5, 2]",734.0,43.0,0.35174292388749906,1087.0,"[2, 2, 1]",452.0,27.0,0.39082547098611004,1699.0,"[2, 2, 1]",452.0,27.0,0.39082547098611004,1087.0,400.0,520.0,"[2, 2, 1]",452.0,27.0,0.39082547098611004,"[4, 4, 2]",452.0,27.0,0.39082547098611004,520.0,False,520.0,False,520.0,False,"[4, 4, 2]",452.0,27.0,0.39082547098611004
mp-6065,O24 Ga4 Sr8 Sb4,Sr2GaSbO6,False,"[3, 3, 3]",1080.0,53.0,0.2657002878309627,1296.0,"[3, 3, 3]",1080.0,53.0,0.2657002878309627,2025.0,"[3, 3, 3]",1080.0,53.0,0.2657002878309627,1296.0,400.0,520.0,"[3, 3, 3]",1080.0,53.0,0.2657002878309627,,,,,520.0,False,,,520.0,False,"[3, 3, 3]",1080.0,53.0,0.2657002878309627
mp-540881,Ag4 I12 Cs8,Cs2AgI3,False,"[1, 5, 1]",131.0,23.0,0.5231569807775498,358.0,"[1, 1, 1]",168.0,30.0,0.3545010452220445,560.0,"[1, 1, 1]",168.0,30.0,0.3545010452220445,358.0,297.0,387.0,"[1, 1, 1]",168.0,30.0,0.3545010452220445,"[1, 4, 1]",99.0,18.0,0.5350469121588578,387.0,False,387.0,False,387.0,False,"[1, 4, 1]",99.0,18.0,0.5350469121588578
